id,production_company
1824,Anonymous Content
1824,Flower Films (II)
2976,New Line Cinema
2976,Ingenious Film Partners
2976,Offspring Entertainment
2976,Zadan / Meron Productions
11026,Morgan Creek Productions
11026,Dominion Productions
332,Walt Disney Pictures
332,Caravan Pictures
332,DiC Entertainment
75656,Summit Entertainment
75656,K/O Paper Products
75656,SOIXAN7E QUIN5E
75656,See Me Louisiana
38365,Columbia Pictures
38365,Happy Madison Productions
38365,Relativity Media
594,DreamWorks SKG
594,Amblin Entertainment
594,Parkes/MacDonald Productions
15189,DreamWorks SKG
15189,Nickelodeon Movies
11678,Columbia Pictures Corporation
11678,Global Entertainment Productions GmbH & Company Medien KG
6538,Universal Pictures
6538,Participant Productions
6538,Playtone Production
10555,DreamWorks SKG
10555,Pacific Data Images (PDI)
10555,DreamWorks Animation
1125,Paramount Pictures
1125,DreamWorks SKG
1125,Laurence Mark Productions
4551,Double Feature Films
4551,Jersey Films
4551,Nina Saxon Film Design
4551,Metro-Goldwyn-Mayer (MGM)
612,DreamWorks SKG
612,Universal Pictures
612,Amblin Entertainment
612,Peninsula Films
612,Alliance Atlantis Communications
612,"Kennedy/Marshall Company, The"
612,Barry Mendel Productions
9567,Columbia Pictures
9567,Revolution Studios
9567,Cheyenne Enterprises
9567,Michael Lobell Productions
37821,Katalyst Films
37821,Lionsgate
37821,Aversano Films
203801,Davis Entertainment
203801,Warner Bros.
203801,Wigram Productions
203801,RatPac-Dune Entertainment
2539,Gracie Films
2539,Columbia Pictures Corporation
9297,Columbia Pictures
9297,Amblin Entertainment
9297,Sony Pictures Animation
9297,Sony Pictures Entertainment
9297,ImageMovers
3172,Cheyenne Enterprises
3172,Epsilon Motion Pictures
3172,Empire Pictures
3172,Metro-Goldwyn-Mayer (MGM)
3172,Hyde Park Entertainment
3172,Baltimore Spring Creek Productions
3172,Lotus Pictures
6520,Columbia Pictures Corporation
6520,First Knight Productions
1439,Fox 2000 Pictures
37958,Virgin Produced
37958,Mark Canton Productions
2026,Miramax Films
2026,Cheyenne Enterprises
2026,Yari Film Group
2026,Stratus Film Co.
2026,Syndicate Films International
2026,Equity Pictures Medienfonds GmbH & Co. KG II
2026,Hostage GmbH
7450,Twentieth Century Fox Film Corporation
7450,David Kirschner Productions
7450,Fox Animation Studios
11375,Columbia Pictures
11375,Revolution Studios
9425,Impact Pictures
9425,Jerry Weintraub Productions
9425,Warner Bros.
9425,Morgan Creek Productions
25769,Paramount Vantage
25769,Likely Story
25769,Ivy Boy Productions
25769,This Is That Productions
23685,Twentieth Century Fox Film Corporation
23685,1492 Pictures
23685,Twitching Image Studio
11866,Twentieth Century Fox Film Corporation
11866,Davis Entertainment
11866,Aldrich Group
11866,Optional Pictures
9741,Limited Edition Productions Inc.
9741,Touchstone Pictures
9741,Blinding Edge Pictures
9741,Barry Mendel Productions
211672,Universal Pictures
211672,Illumination Entertainment
23629,Legendary Pictures
23629,Warner Bros.
23629,Lennox House Films
23629,Cruel and Unusual Films
8688,Paramount Pictures
8688,DeBart
8688,Touchstone Pictures
8688,Mel's Cite du Cinema
10153,Punch Productions
10153,Warner Bros.
10153,Baltimore Pictures
10153,Constant c Productions
153518,Columbia Pictures
153518,Rovio Entertainment
153518,Sony Pictures Imageworks (SPI)
153518,Rovio Mobile
153518,Rovio Animation
8676,De Line Pictures
8676,Warner Bros.
20829,Columbia Pictures
20829,Universal Pictures
20829,Happy Madison Productions
20829,Relativity Media
20829,Apatow Productions
20829,Madison 23
4349,Universal Pictures
4349,Forward Pass
4349,Relativity Media
4349,FilmWorks
4349,MDBF Zweite Filmgesellschaft
9718,Columbia Pictures
9718,Apatow Productions
10808,Twentieth Century Fox Film Corporation
10808,Joseph M. Singer Entertainment
10808,Davis Entertainment
197,Icon Entertainment International
197,The Ladd Company
197,B.H. Finance C.V.
25,Universal Pictures
25,Neal Street Productions
25,Red Wagon Entertainment
25,Motion Picture KAPPA Produktionsgesellschaft
35,Gracie Films
35,Twentieth Century Fox Film Corporation
11086,Village Roadshow Pictures
11086,Castle Rock Entertainment
11086,NPV Entertainment
11086,Darkwoods Productions
10477,Epsilon Motion Pictures
10477,Franchise Pictures
10477,Trackform Film Productions
10477,Mel's Cite du Cinema
1997,Pathé Renn Productions
1997,TF1 Films Production
1997,Canal+
1997,Pathe
1997,Two Brothers Productions
6947,Scott Rudin Productions
6947,Touchstone Pictures
6947,Blinding Edge Pictures
3050,Twentieth Century Fox Film Corporation
3050,Joseph M. Singer Entertainment
3050,Davis Entertainment
2675,"Kennedy/Marshall Company, The"
2675,Touchstone Pictures
2675,Blinding Edge Pictures
809,DreamWorks SKG
809,Pacific Data Images (PDI)
809,DreamWorks Animation
920,Walt Disney Pictures
920,Pixar Animation Studios
4806,Paramount Pictures
4806,Lakeshore Entertainment
4806,Touchstone Pictures
4806,Interscope Communications
7451,Columbia Pictures
7451,Original Film
7451,Revolution Studios
228165,Paramount Pictures
228165,Nickelodeon Movies
228165,Nickelodeon Animation Studios
228165,United Plankton Pictures
228165,Disruption Entertainment
228165,Paramount Animation
3595,Touchstone Pictures
3595,Brian Grazer/Scott Rudin Productions
16869,Universal Pictures
16869,A Band Apart
16869,The Weinstein Company
16869,Zehnte Babelsberg
16869,Visiona Romantica
879,Amblin Entertainment
879,TriStar Pictures
1573,Twentieth Century Fox Film Corporation
1573,Gordon Company
1573,Silver Pictures
9257,Original Film
9257,Columbia Pictures Corporation
9257,Camelot Pictures
9257,Chris Lee Productions
9257,Illusion Entertainment
1903,Paramount Pictures
1903,Cruise-Wagner Productions
1903,Vinyl Films
9697,Legendary Pictures
9697,Warner Bros.
9697,Blinding Edge Pictures
395,Impact Pictures
395,Studio Babelsberg
395,Twentieth Century Fox Film Corporation
395,Davis Entertainment
395,Stillking Films
395,Brandywine Productions
395,Lonlink Productions
395,Kut Productions
395,Inside Track Films
395,Charenton Productions Limited
395,Revolution Sun Studios
23398,Regency Enterprises
23398,Fox 2000 Pictures
23398,Bagdasarian Productions
10590,Icon Entertainment International
10590,Wheelhouse Entertainment
10590,Motion Picture Production GmbH & Co. Erste KG
117263,Nu Image Films
117263,Millennium Films
200,Paramount Pictures
44943,Columbia Pictures
44943,Original Film
44943,Relativity Media
587,Columbia Pictures
587,The Zanuck Company
587,Jinks/Cohen Company
587,Tim Burton Productions
10395,Columbia Pictures
57212,DreamWorks SKG
57212,Amblin Entertainment
57212,Reliance Entertainment
57212,"Kennedy/Marshall Company, The"
152760,Columbia Pictures
152760,Studio Babelsberg
152760,Fox 2000 Pictures
152760,Smokehouse Pictures
152760,Obelisk Productions
2756,Twentieth Century Fox Film Corporation
2756,Lightstorm Entertainment
2756,Pacific Western
33909,Twentieth Century Fox Film Corporation
33909,Dune Entertainment
33909,Dune Entertainment III
33909,Edward R. Pressman Film
49017,Universal Pictures
49017,Legendary Pictures
49017,Fuji Television Network
49017,Dentsu
49017,Michael De Luca Productions
9882,Twentieth Century Fox Film Corporation
9882,Lynda Obst Productions
9882,"Bedford Falls Company, The"
2270,Paramount Pictures
2270,Ingenious Film Partners
2270,Di Bonaventura Pictures
2270,Marv Films
2270,Vaughn Productions
978,TriStar Pictures
978,Mandalay Entertainment
978,Applecross
978,Reperage & Vanguard Films
44564,Imagine Entertainment
44564,Universal Pictures
44564,Spyglass Entertainment
44564,Wild West Picture Show Productions
3132,Jerry Bruckheimer Films
3132,Touchstone Pictures
3132,Stillking Films
8814,Di Bonaventura Pictures
8814,John Wells Productions
8814,Reaper Productions
8814,Stillking Films
8814,Babelsberg Film
8814,Doom Productions
8814,Distant Planet Productions
8427,Columbia Pictures Corporation
52520,Lakeshore Entertainment
52520,Saturn Films
52520,Screen Gems
52520,Sketch Films
52520,UW4 Productions
80585,New Line Cinema
80585,Offspring Entertainment
80585,Corner Store Entertainment
80585,Material Pictures
10592,David Foster Productions
10592,Cheyenne Enterprises
10592,Metro-Goldwyn-Mayer (MGM)
10592,David Ladd Films
49021,Current Entertainment
49021,Omnilab Media
49021,Ambience Entertainment
49021,International Traders
49021,Open Road Films
49021,Sighvatsson Films
49021,Palomar Pictures (II)
49021,Film Victoria
49021,Wales Creative IP Fund
11535,Atlas Entertainment
11535,Toho-Towa
11535,Mosaic Media Group
11535,Yorktown Productions
11535,Helkon Media AG
11535,Metro-Goldwyn-Mayer (MGM)
10550,Epsilon Motion Pictures
10550,Franchise Pictures
10550,Dante Entertainment
10550,Chris Lee Productions
10550,SuperMega
10550,MHF Erste Academy Film GmbH & Co. Produktions KG
11258,Paramount Pictures
11258,Toho-Towa
11258,Mutual Film Company
11258,PolyGram Filmed Entertainment
11258,Marubeni
11258,Tele München Fernseh Produktionsgesellschaft (TMG)
11258,UGC PH
11258,British Broadcasting Corporation (BBC) Television
11258,Stargate Studios
12610,Conundrum Entertainment
12610,Warner Bros. Animation
12610,Warner Bros.
59981,Prana Animation Studios
59981,Summertime Entertainment
201088,Universal Pictures
201088,Forward Pass
201088,Legendary Pictures
5137,Paramount Pictures
5137,Natural Nylon Entertainment
5137,Riff Raff Film Productions
5137,Filmauro
5137,Blue Flower Productions
5137,Brooklyn Films II
3093,Intermedia Films
3093,Kanzaman
3093,C-2 Pictures
3093,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
107846,Summit Entertainment
107846,Atmosphere Entertainment MM
107846,Emmett/Furla Films
107846,Mark Canton Productions
107846,Envision Entertainment
107846,Boies / Schiller Film Group
107846,Knightsbridge Entertainment
188207,Millennium Films
4614,Paramount Pictures
4614,Mace Neufeld Productions
4614,MFP Munich Film Partners GmbH & Company I. Produktions KG
4614,S.O.A.F. Productions
4614,Mel's Cite du Cinema
24021,Summit Entertainment
24021,Maverick Films
24021,Imprint Entertainment
24021,Sunswept Entertainment
24021,Temple Hill Entertainment
11371,Paramount Pictures
11371,Mandalay Pictures
11371,Horseshoe Bay Productions
20352,Universal Pictures
20352,Illumination Entertainment
11517,Columbia Pictures
214756,Universal Pictures
214756,Fuzzy Door Productions
214756,Bluegrass Films
214756,Smart Entertainment
214756,Media Rights Capital (MRC)
26428,Himenóptero
26428,Telecinco Cinema
26428,Mod Producciones
26428,Nimar Studios
26428,Canal+ España
26428,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)
26428,Government of Malta
9824,Universal Pictures
9824,Dark Horse Entertainment
9824,Golar Productions
48988,New Line Cinema
48988,Conundrum Entertainment
9008,Spyglass Entertainment
9008,Forward Pass
9008,Kaitz Productions
9008,Mann/Roth Productions
9008,Touchstone Pictures
300673,Walt Disney Pictures
300673,Whitaker Entertainment
300673,Bergsten Music
300673,Red Hawk Entertainment
12113,Scott Free Productions
12113,De Line Pictures
12113,Warner Bros.
38778,Paramount Pictures
38778,DreamWorks SKG
38778,Spyglass Entertainment
38778,Everyman Pictures
38778,Reliance BIG Entertainment
38778,Parkes/MacDonald Productions
72331,Twentieth Century Fox Film Corporation
72331,Bazelevs Production
72331,Tim Burton Productions
72331,Abraham Productions
72331,Location Gourmet
1844,Fountainbridge Films
1844,Regency Enterprises
846,Twentieth Century Fox Film Corporation
846,Ten Thirteen Productions
9703,Ingenious Film Partners
9703,Quinta Communications
9703,Dino De Laurentiis Company
9703,Zephyr Films
857,Paramount Pictures
857,DreamWorks SKG
857,Amblin Entertainment
857,Mutual Film Company
857,Mark Gordon Productions
136797,DreamWorks SKG
136797,Reliance Entertainment
136797,Bandito Brothers
136797,Touchstone Pictures
136797,Electronic Arts
136797,Revolution Sun Studios
3981,Paramount Pictures
3981,Centropolis Entertainment
3981,Icon Entertainment International
3981,Wind Dancer Productions
425,Twentieth Century Fox Film Corporation
425,Blue Sky Studios
425,Twentieth Century Fox Animation
6171,Village Roadshow Pictures
6171,Castle Rock Entertainment
6171,NPV Entertainment
6171,Kasdan Pictures
6171,WV Films II
72976,DreamWorks
72976,Amblin Entertainment
72976,Twentieth Century Fox Film Corporation
72976,Dune Entertainment
72976,The Kennedy/Marshall Company
72976,Participant Media
72976,Reliance Entertainment
603,Village Roadshow Pictures
603,Groucho II Film Partnership
603,Silver Pictures
603,Warner Bros.
568,Imagine Entertainment
568,Universal Pictures
9021,Walt Disney Pictures
9021,Outlaw Productions
9021,Boxing Cat Films
82695,Universal Pictures
82695,Relativity Media
82695,CAMERON MACKINTOSH
82695,Working Title Films
9489,Warner Bros.
12133,Columbia Pictures
12133,Mosaic Media Group
12133,Gary Sanchez Productions
12133,Relativity Media
12133,Apatow Productions
9342,Amblin Entertainment
9342,TriStar Pictures
41733,Legendary Pictures
41733,Green Hat Films
41733,Warner Bros.
227306,Legendary Pictures
227306,3 Arts Entertainment
227306,Jolie Pas
5551,Village Roadshow Pictures
5551,Malpaso Productions
5551,Mad Chance
5551,Warner Bros.
5551,Clipsal Films
5551,Digital Image Associates
9350,TriStar Pictures
9350,Canal+
9350,Carolco Pictures
9350,RCS Video
9350,Cliffhanger Productions
9350,Pioneer
9208,Twentieth Century Fox Film Corporation
9208,WCG Entertainment Productions
9208,Mark Gordon Productions
4244,Walt Disney Pictures
1852,Paramount Pictures
1852,Double Feature Films
1852,Intermedia Films
1852,Kernos Filmproduktionsgesellschaft & Company
11820,Columbia Pictures
11820,Revolution Studios
76493,Paramount Pictures
345,Hobby Films
345,Pole Star
345,Stanley Kubrick Productions
345,Warner Bros.
196867,Columbia Pictures
196867,Olive Bridge Entertainment
196867,Sony Pictures Entertainment (SPE)
196867,Overbrook Entertainment
196867,Marcy Media
256591,Kramer & Sigman Films
256591,RatPac-Dune Entertainment
256591,Zaftig Films
59962,Dune Entertainment
59962,Overbrook Films
59962,Robert Simonds Productions
36648,New Line Cinema
36648,Amen Ra Films
36648,Shawn Danielle Productions Ltd.
36648,Imaginary Forces
36648,Marvel Enterprises
36648,Peter Frankfurt Productions
1880,United Artists
1880,Valkyrie Films
9440,Universal Pictures
9440,Mutual Film Company
71679,Davis-Films
10483,Universal Pictures
10483,Cruise/Wagner Productions
10483,Impact Pictures
10483,Relativity Media
10483,Scion Films
10483,H2S2 Filmproduktionsgesellschaft
11412,New Line Cinema
11412,Forge
11412,The Steve Tisch Company
11983,Castle Rock Entertainment
11983,Warner Bros.
6795,Columbia Pictures Corporation
6795,Teitler Film
6795,Michael De Luca Productions
6795,Radar Pictures
550,Regency Enterprises
550,Fox 2000 Pictures
550,Taurus Film
550,Linson Films
550,Atman Entertainment
550,Knickerbocker Films
11170,Legendary Pictures
11170,Thunder Road Pictures
11170,Wonderland Sound and Vision
11170,Warner Bros.
9292,TriStar Pictures
9292,Silver Pictures
10783,Paramount Pictures
10783,StudioCanal
100241,Lakeshore Entertainment
100241,Sidney Kimmel Entertainment
100241,Lionsgate
100241,Hopscotch Films
257,R.P. Productions
257,ETIC Films
257,Runteam III Ltd.
9947,Twentieth Century Fox Film Corporation
9947,Regency Enterprises
9947,Epsilon Motion Pictures
9947,New Regency Pictures
9947,Marvel Enterprises
9947,Horseshoe Bay Productions
9947,Elektra Productions
9947,SAI Productions
189,Miramax Films
189,Troublemaker Studios
189,AR Films
189,Aldamisa Entertainment
189,Demarest Films
189,Solipsist Film
189,Residaco
12618,Columbia Pictures
253412,Universal Pictures
253412,Working Title Films
253412,Walden Media
253412,Cross Creek Pictures
253412,Free State Pictures
253412,RVK Studios
1427,Davis-Films
1427,Nouvelles Éditions de Films (NEF)
1427,Rising Star
1427,VIP Medienfonds 4
1427,Ikiru Films
1427,Constantin Film Produktion
1427,Castelao Producciones
818,New Line Cinema
818,Eric's Boy
818,Team Todd
818,Moving Pictures
818,Gratitude International
16577,The Weinstein Company
16577,Summit Entertainment
16577,Tezuka Production Company Ltd.
16577,Imagi Animation Studios
329,Universal Pictures
329,Amblin Entertainment
12160,Tig Productions
12160,Warner Bros.
12160,Kasdan Pictures
12160,Paragon Entertainment Corp.
9331,Paramount Pictures
9331,Mace Neufeld Productions
300168,Shanghai Film Group
300168,Jackie & JJ Production
300168,Sparkle Roll Media
300168,Huayi Brothers Media
300168,Alibaba Pictures Group
300168,Home Media & Entertainment Fund
300168,Tencent Video
300168,China Film & TV Capital
300168,Visualizer Film Company
9072,Revolution Studios
9072,Wayans Bros. Entertainment
3536,Universal Pictures
3536,Canal Plus
3536,Dino De Laurentiis Company
9087,Columbia Pictures
9087,Castle Rock Entertainment
12177,Paramount Pictures
12177,Goldcrest Pictures
12177,Internationale Filmproduktion
12138,Franchise Pictures
12138,Warner Bros.
12138,Morgan Creek Productions
273248,Double Feature Films
273248,The Weinstein Company
273248,FilmColony
9955,DreamWorks
50359,Universal Pictures
50359,Illumination Entertainment
1271,Virtual Studios
1271,Legendary Pictures
1271,Hollywood Gang Productions
1271,Atmosphere Entertainment MM
1271,Warner Bros.
1271,Nimar Studios
1271,Cruel and Unusual Films
693,DreamWorks SKG
693,Universal Pictures
693,Everyman Pictures
693,Tribeca Productions
14306,Sunswept Entertainment
14306,Dune Entertainment III
497,Castle Rock Entertainment
497,Darkwoods Productions
497,Warner Bros.
11199,Wild Hogs Productions
11199,Touchstone Pictures
9982,Walt Disney Pictures
9982,Walt Disney Feature Animation
210577,Twentieth Century Fox Film Corporation
210577,Regency Enterprises
210577,New Regency Pictures
210577,Pacific Standard
210577,TSG Entertainment
210577,Artemple - Hollywood
2501,Universal Pictures
2501,"Kennedy/Marshall Company, The"
2501,Hypnotic
2501,Kalima Productions GmbH & Co. KG
2501,Stillking Films
710,United Artists
710,Eon Productions
2275,Paramount Pictures
2275,MFP Munich Film Partners GmbH & Company I. Produktions KG
2275,Krane Entertainment
2275,Neufeld Rehme Productions
37165,Paramount Pictures
37165,Scott Rudin Productions
9837,DreamWorks SKG
9837,DreamWorks Animation
10708,Columbia Pictures
10708,Revolution Studios
10708,Davis Entertainment
136400,Universal Studios
136400,Marc Platt Productions
136400,Emmett/Furla Films
136400,Envision Entertainment Corporation
10992,Village Roadshow Pictures
10992,NPV Entertainment
10992,Mad Chance
10992,Zide-Perry Productions
10992,Warner Bros.
10992,BenderSpink
9654,De Line Pictures
9654,Working Title Films
2642,Village Roadshow Pictures
2642,Castle Rock Entertainment
2642,NPV Entertainment
2642,Fortis Films
8916,DreamWorks SKG
8916,Pacific Data Images (PDI)
8916,DreamWorks Animation
19899,Universal Pictures
19899,Wild West Picture Show Productions
19899,Stuber Productions
19899,Relativity Media
2119,Paramount Pictures
2119,Don Simpson/Jerry Bruckheimer Films
9641,Twentieth Century Fox Film Corporation
9641,21 Laps Entertainment
9641,Dozen Canada Productions
294254,Gotham Group
294254,Temple Hill Entertainment
294254,TSG Entertainment
38167,Columbia Pictures
38167,Red Om Films
38167,Plan B Entertainment
5994,Universal Pictures
39514,DC Comics
39514,Di Bonaventura Pictures
39514,Summit Entertainment
39514,DC Entertainment
9563,Donners' Company
9563,Ixtlan
9563,Warner Bros.
547,Wildwood Enterprises
547,Touchstone Pictures
1538,Paramount Pictures
1538,DreamWorks SKG
1538,Parkes/MacDonald Productions
1538,Edge City
9334,Universal Pictures
9334,Kalima Productions GmbH & Co. KG
9334,World Wrestling Entertainment (WWE)
9334,Alphaville Films
11128,Casey Silver Productions
11128,Beacon Communications
11128,Touchstone Pictures
11128,Beacon Pictures
11128,Fantail Films Inc.
75780,Paramount Pictures
75780,Mutual Film Company
75780,Skydance Productions
75780,TC Productions
8914,Village Roadshow Pictures
8914,Warner Bros.
8914,Riche-Ludwig Productions
8914,Groucho III Film Partnership
13576,Columbia Pictures
39538,Double Feature Films
39538,Regency Enterprises
39538,Warner Bros.
39538,Participant Media
39538,Imagenation Abu Dhabi FZ
10628,Castle Rock Entertainment
10628,Jerry Bruckheimer Films
10628,Warner Bros.
14836,Focus Features
14836,Laika Entertainment
8645,Spyglass Entertainment
8645,Twentieth Century Fox Film Corporation
8645,Dune Entertainment
8645,UTV Motion Pictures
8645,Blinding Edge Pictures
9509,Regency Enterprises
9509,Fox 2000 Pictures
9509,Epsilon Motion Pictures
9509,Scott Free Productions
9509,New Regency Pictures
10067,Walt Disney Pictures
10067,Mandeville Films
10067,Boxing Cat Films
9384,Weed Road Pictures
9384,Warner Bros.
9384,Dimension Films
9384,Red Hour Films
9384,AR-TL
9279,Twentieth Century Fox Film Corporation
9279,1492 Pictures
1487,Revolution Studios
1487,Dark Horse Entertainment
1487,Lawrence Gordon Productions
1487,Starlite Films
9422,Paramount Pictures
9422,Wildwood Enterprises
9422,Touchstone Pictures
77174,Focus Features
77174,Laika Entertainment
4824,Universal Pictures
4824,Toho-Towa
4824,Mutual Film Company
4824,Marubeni
4824,Tele München Fernseh Produktionsgesellschaft (TMG)
4824,Alphaville Films
4824,British Broadcasting Corporation (BBC)
4824,UGC PH
4824,Mel's Cite du Cinema
9620,Paramount Pictures
9620,DreamWorks SKG
9620,Davis Entertainment
9620,Lion Rock Productions
9620,Province of British Columbia Film Incentive BC
9620,Solomon/Hackett Productions
9302,Cinergi Pictures Entertainment
9302,Touchstone Pictures
10199,Larger Than Life Productions
10771,DreamWorks SKG
10771,Parkes+MacDonald Image Nation
10771,Blue Train Productions
3512,Regency Enterprises
3512,Warner Bros.
3512,Seagal/Nasso Productions
3512,Victor Company of Japan (JVC)
3512,Cutting Edge Films
137094,Paramount Pictures
137094,Di Bonaventura Pictures
137094,Mace Neufeld Productions
137094,Skydance Productions
137094,Etalon film
137094,Buckaroo Entertainment
274479,Fox 2000 Pictures
274479,Davis Entertainment
274479,Annapurna Pictures
274479,TSG Entertainment
267860,Millennium Films
267860,LHF Film
267860,Gerard Butler Alan Siegel Entertainment
267860,Nu Boyana Film Studios
8078,Twentieth Century Fox Film Corporation
8078,Brandywine Productions
7485,Paramount Pictures
7485,Di Bonaventura Pictures
7485,Grosvenor Park Impact Productions
170687,Laika Entertainment
6435,Village Roadshow Pictures
6435,DiNovi Pictures
6435,Fortis Films
6435,Warner Bros.
6435,Stargate Studios
137106,Village Roadshow Pictures
137106,DC Comics
137106,Vertigo Entertainment
137106,Lin Pictures
137106,Warner Bros. Animation
137106,LEGO
137106,Warner Bros.
137106,Animal Logic
137106,Warner Animation Group
137106,RatPac-Dune Entertainment
10040,Village Roadshow Pictures
10040,Castle Rock Entertainment
10040,Fortis Films
6278,The Zanuck Company
6278,Spyglass Entertainment
6278,World 2000 Entertainment
6278,Touchstone Pictures
6278,Tripod Entertainment
82682,Village Roadshow Pictures
82682,Lin Pictures
82682,Warner Bros.
82682,Langley Park Production
17610,Columbia Pictures
17610,Ocean Pictures
17610,Apatow Productions
22954,Spyglass Entertainment
22954,Malpaso Productions
22954,Revelations Entertainment
22954,Mace Neufeld Productions
22954,Warner Bros.
22954,Liberty Pictures (II)
16995,Universal Pictures
16995,StudioCanal
16995,Andell Entertainment
16995,Relativity Media
16995,Working Title Films
16558,Universal Pictures
16558,Laura Bickford Productions
16558,Relativity Media
16558,Medienproduktion Poseidon Filmgesellschaft
9849,Walt Disney Pictures
5820,Twentieth Century Fox Film Corporation
5820,Dune Entertainment
5820,Major Studio Partners
5820,Regency Enterprises
5820,Epsilon Motion Pictures
5820,New Regency Pictures
5820,Sentinel Productions
5820,Furthur Films
16866,TriStar Pictures
16866,Ilion Animation Studios
16866,Hand Made Films
201,Paramount Pictures
11775,Imagine Entertainment
11775,Universal Pictures
11775,Mike Zoss Productions
11775,Alphaville Productions
87825,Malpaso Productions
87825,Warner Bros.
12201,Icon Productions
12201,BBC Films
12201,GK Films
12201,Warner Bros.
11015,Paramount Pictures
11015,Universal Pictures
11015,Toho-Towa
11015,Mutual Film Company
11015,Pacific Western
11015,PolyGram Filmed Entertainment
11015,Marubeni
11015,Tele München Fernseh Produktionsgesellschaft (TMG)
11015,British Broadcasting Corporation (BBC)
9932,Village Roadshow Pictures
9932,NPV Entertainment
9932,Warner Bros.
9932,Tribeca Productions
9932,Baltimore Spring Creek Pictures
9932,Face Productions
13389,Grosvenor Park Media Ltd.
13389,InVenture Entertainment
13389,Millennium Films
13389,Emmett/Furla Films
13389,Nu-Image Films
8838,Imagine Entertainment
8838,Universal Pictures
17332,DreamWorks
17332,Universal Pictures
17332,StudioCanal
17332,Participant Media
17332,Krasnoff Foster Productions
17332,Working Title Films
4958,DreamWorks SKG
4958,Twentieth Century Fox Film Corporation
4958,Wildwood Enterprises
4958,Epsilon Motion Pictures
4958,Allied Filmmakers
786,Columbia Pictures
786,Vinyl Films
786,DreamWorks Pictures
9513,Twentieth Century Fox Film Corporation
9513,Dune Entertainment
9513,Davis Entertainment
11679,Original Film
11679,Columbia Pictures Corporation
11679,Revolution Studios
38321,Screen Gems
38321,Stars Road Entertainment
38321,Buckaroo Entertainment
38321,Michael De Luca Productions
38321,TOKYOPOP
14411,DreamWorks Animation
8413,Paramount Pictures
8413,Impact Pictures
8413,Golar Productions
10052,Universal Pictures
10052,Spyglass Entertainment
10052,Shady Acres Entertainment
10052,Gran Via Productions
10052,Kalima Productions GmbH & Co. KG
10052,NDE Productions
9676,Universal Pictures
9676,Davis-Films
9676,Signature Pictures
9676,Linson Entertainment
9676,Art Linson Productions
9676,Millennium Films
9676,Equity Pictures Medienfonds GmbH & Co. KG III
9676,Nu Image Entertainment GmbH
9664,Ingenious Film Partners
9664,Electric Entertainment
9664,Skydance Productions
9664,Flyboys Films
2100,DreamWorks SKG
10384,United Artists
10384,Metro-Goldwyn-Mayer (MGM)
10384,Hammerhead Productions
10384,Screenland Pictures
137321,Village Roadshow Pictures
137321,Weed Road Pictures
137321,Warner Bros.
123553,Constantin Film Produktion
123553,Don Carmody Productions
123553,Unique Features
123553,Mr. Smith Productions
11260,Twentieth Century Fox Film Corporation
11260,Dune Entertainment
11260,Regency Enterprises
11260,Guy Walks into a Bar Productions
11260,Deep River Productions
11260,Friendly Films (II)
9009,Vertigo Entertainment
9009,Touchstone Pictures
9009,Post No Bills Films
9009,Pandemonium Productions
11374,Imagine Entertainment
11374,Universal Pictures
2309,New Line Cinema
2309,Internationale Filmproduktion Blackbird Erste
8285,DC Comics
8285,Lionsgate
8285,Odd Lot Entertainment
8285,Media Magik Entertainment
8285,Dark Lot Entertainment
8285,Continental Entertainment Group (CEG)
210860,Lionsgate
210860,Mad Chance
210860,OddLot Entertainment
210860,Huayi Brothers Media
2312,Boll Kino Beteiligungs GmbH & Co. KG
2312,Brightlight Pictures
2312,Herold Productions
9839,Mandalay Pictures
9839,CP Medien AG
9839,Camelot Pictures
9839,Networxx - Film Management
9839,Mel's Cite du Cinema
381902,Filmko Pictures
13922,Lawrence Bender Productions
13922,Marty Katz Productions
293660,Twentieth Century Fox Film Corporation
293660,Marvel Entertainment
293660,The Donners' Company
293660,TSG Entertainment
293660,Kinberg Genre
9713,Caravan Pictures
9713,Touchstone Pictures
190859,Village Roadshow Pictures
190859,Malpaso Productions
190859,Warner Bros.
190859,RatPac-Dune Entertainment
190859,Mad Chance Productions
190859,22 & Indiana Pictures
257445,Columbia Pictures
257445,Village Roadshow Pictures
257445,Original Film
257445,Sony Pictures Animation
257445,Sony Pictures Entertainment (SPE)
257445,Scholastic Entertainment
257445,LStar Capital
9007,DreamWorks SKG
9007,UIP
9007,MacDonald/Parkes Productions
889,Universal Pictures
889,Amblin Entertainment
1370,TriStar Pictures
1370,Carolco Pictures
4942,Universal Pictures
4942,Casey Silver Productions
4942,Outlaw Productions (I)
4942,Smokehouse Pictures
347969,Happy Madison Productions
24438,Columbia Pictures
24438,Castle Rock Entertainment
24438,Relativity Media
24438,Banter
116741,Twentieth Century Fox Film Corporation
116741,Regency Enterprises
116741,21 Laps Entertainment
116741,Wild West Picture Show Productions
116741,TSG Entertainment
35791,Impact Pictures
35791,Davis-Films
35791,Constantin Film Produktion
72431,Lucasfilm
72431,Twentieth Century Fox Film Corporation
72431,Partnership Pictures
1813,Regency Enterprises
1813,Monarchy Enterprises B.V.
1813,Kopelson Entertainment
1813,Warner Bros.
1813,New Regency Pictures
1813,Taurus Film
